Ra      , Ta      , nz      , nx      , ny      , S       , Ro_p    , Ro_c    , Ro      , Re      , Nu
2.49E+02, 4.64E+02, 6.40E+01, 6.40E+01, 6.40E+01, 2.15E+00, 1.58E+00, 7.33E-01, 3.86E-01, 9.41E+00, 2.40E+00
4.44E+02, 1.00E+03, 6.40E+01, 6.40E+01, 6.40E+01, 2.46E+00, 1.58E+00, 6.66E-01, 4.15E-01, 1.30E+01, 2.89E+00
7.89E+02, 2.15E+03, 6.40E+01, 6.40E+01, 6.40E+01, 2.76E+00, 1.58E+00, 6.06E-01, 4.33E-01, 1.78E+01, 3.44E+00
1.40E+03, 4.64E+03, 6.40E+01, 6.40E+01, 6.40E+01, 3.06E+00, 1.58E+00, 5.49E-01, 4.50E-01, 2.32E+01, 4.16E+00
2.49E+03, 1.00E+04, 6.40E+01, 6.40E+01, 6.40E+01, 3.38E+00, 1.58E+00, 4.99E-01, 4.55E-01, 3.02E+01, 4.87E+00
4.44E+03, 2.15E+04, 6.40E+01, 6.40E+01, 6.40E+01, 3.72E+00, 1.58E+00, 4.54E-01, 4.59E-01, 3.87E+01, 5.68E+00
7.89E+03, 4.64E+04, 6.40E+01, 6.40E+01, 6.40E+01, 4.04E+00, 1.58E+00, 4.12E-01, 4.57E-01, 5.05E+01, 6.62E+00
1.40E+04, 1.00E+05, 1.28E+02, 1.28E+02, 1.28E+02, 4.38E+00, 1.58E+00, 3.74E-01, 4.53E-01, 6.38E+01, 7.61E+00
2.49E+04, 2.15E+05, 1.28E+02, 1.28E+02, 1.28E+02, 4.74E+00, 1.58E+00, 3.40E-01, 4.48E-01, 8.10E+01, 8.69E+00
4.44E+04, 4.64E+05, 1.28E+02, 1.28E+02, 1.28E+02, 5.13E+00, 1.58E+00, 3.09E-01, 4.40E-01, 1.02E+02, 1.00E+01
7.89E+04, 1.00E+06, 1.28E+02, 1.28E+02, 1.28E+02, 5.51E+00, 1.58E+00, 2.81E-01, 4.41E-01, 1.35E+02, 1.16E+01
1.40E+05, 2.15E+06, 1.28E+02, 1.28E+02, 1.28E+02, 5.91E+00, 1.58E+00, 2.55E-01, 4.21E-01, 1.69E+02, 1.28E+01
2.49E+05, 4.64E+06, 1.28E+02, 1.28E+02, 1.28E+02, 6.34E+00, 1.58E+00, 2.32E-01, 4.20E-01, 2.24E+02, 1.51E+01
4.44E+05, 1.00E+07, 2.56E+02, 2.56E+02, 2.56E+02, 6.80E+00, 1.58E+00, 2.11E-01, 4.11E-01, 2.92E+02, 1.70E+01
7.89E+05, 2.15E+07, 2.56E+02, 2.56E+02, 2.56E+02, 7.28E+00, 1.58E+00, 1.92E-01, 3.94E-01, 3.49E+02, 1.84E+01
1.40E+06, 4.64E+07, 2.56E+02, 2.56E+02, 2.56E+02, 7.76E+00, 1.58E+00, 1.74E-01, 3.86E-01, 4.61E+02, 2.08E+01
2.49E+06, 1.00E+08, 2.56E+02, 2.56E+02, 2.56E+02, 8.29E+00, 1.58E+00, 1.58E-01, 3.98E-01, 6.29E+02, 2.64E+01
1.87E+01, 1.07E-01, 6.40E+01, 6.40E+01, 6.40E+01, 2.00E+00, 1.00E+01, 1.32E+01, 3.67E+00, 2.97E+00, 1.70E+00
2.13E+01, 3.29E-01, 6.40E+01, 6.40E+01, 6.40E+01, 2.00E+00, 7.00E+00, 8.04E+00, 2.44E+00, 3.57E+00, 1.83E+00
2.40E+01, 9.49E-01, 6.40E+01, 6.40E+01, 6.40E+01, 2.00E+00, 5.00E+00, 5.03E+00, 1.60E+00, 3.92E+00, 1.85E+00
6.39E+03, 1.00E+05, 1.28E+02, 1.28E+02, 1.28E+02, 2.00E+00, 1.07E+00, 2.53E-01, 1.75E-01, 2.91E+01, 3.13E+00
2.91E+04, 1.00E+06, 1.28E+02, 1.28E+02, 1.28E+02, 2.00E+00, 9.59E-01, 1.71E-01, 1.32E-01, 4.95E+01, 3.61E+00
1.33E+05, 1.00E+07, 1.28E+02, 1.28E+02, 1.28E+02, 2.00E+00, 8.65E-01, 1.15E-01, 9.62E-02, 8.03E+01, 4.01E+00
3.89E+01, 1.00E+01, 6.40E+01, 6.40E+01, 6.40E+01, 2.00E+00, 2.63E+00, 1.97E+00, 7.41E-01, 4.62E+00, 1.95E+00
